2026-04-02T12:13:06-0600 | INFO | firehose | Starting firehose capture job
2026-04-02T12:13:06-0600 | INFO | firehose | Firehose URL: wss://bsky.network/xrpc/com.atproto.sync.subscribeRepos
2026-04-02T12:13:06-0600 | INFO | firehose | Target unique posts: 20000
2026-04-02T12:13:11-0600 | INFO | firehose | Live firehose dependency check passed
2026-04-02T12:13:21-0600 | INFO | firehose | progress frames=4235 decoded=4235 commit_events=4223 ops=4433 matches=465 decode_errors=0 extract_errors=0 duplicates=0 unique=465 rows_per_sec=30.98 remaining=19535 complete_pct=2.325
2026-04-02T12:13:36-0600 | INFO | firehose | progress frames=11147 decoded=11147 commit_events=11109 ops=11463 matches=1267 decode_errors=0 extract_errors=0 duplicates=0 unique=1267 rows_per_sec=42.22 remaining=18733 complete_pct=6.335
2026-04-02T12:13:51-0600 | INFO | firehose | progress frames=18020 decoded=18020 commit_events=17966 ops=18429 matches=2000 decode_errors=0 extract_errors=0 duplicates=0 unique=2000 rows_per_sec=44.41 remaining=18000 complete_pct=10.000
2026-04-02T12:14:06-0600 | INFO | firehose | progress frames=24702 decoded=24702 commit_events=24636 ops=25325 matches=2789 decode_errors=0 extract_errors=0 duplicates=0 unique=2789 rows_per_sec=46.45 remaining=17211 complete_pct=13.945
2026-04-02T12:14:21-0600 | INFO | firehose | progress frames=31650 decoded=31650 commit_events=31566 ops=32349 matches=3627 decode_errors=0 extract_errors=0 duplicates=0 unique=3627 rows_per_sec=48.30 remaining=16373 complete_pct=18.135
2026-04-02T12:14:36-0600 | INFO | firehose | progress frames=38396 decoded=38396 commit_events=38283 ops=39130 matches=4395 decode_errors=0 extract_errors=0 duplicates=0 unique=4395 rows_per_sec=48.78 remaining=15605 complete_pct=21.975
2026-04-02T12:14:51-0600 | INFO | firehose | progress frames=45235 decoded=45235 commit_events=45109 ops=46085 matches=5198 decode_errors=0 extract_errors=0 duplicates=0 unique=5198 rows_per_sec=49.46 remaining=14802 complete_pct=25.990
2026-04-02T12:15:06-0600 | INFO | firehose | progress frames=51899 decoded=51899 commit_events=51757 ops=52983 matches=5980 decode_errors=0 extract_errors=0 duplicates=0 unique=5980 rows_per_sec=49.79 remaining=14020 complete_pct=29.900
2026-04-02T12:15:21-0600 | INFO | firehose | progress frames=59163 decoded=59163 commit_events=58998 ops=60687 matches=7040 decode_errors=0 extract_errors=0 duplicates=0 unique=7040 rows_per_sec=52.11 remaining=12960 complete_pct=35.200
2026-04-02T12:15:36-0600 | INFO | firehose | progress frames=65481 decoded=65481 commit_events=65309 ops=67053 matches=7783 decode_errors=0 extract_errors=0 duplicates=0 unique=7783 rows_per_sec=51.85 remaining=12217 complete_pct=38.915
2026-04-02T12:15:51-0600 | INFO | firehose | progress frames=71513 decoded=71513 commit_events=71326 ops=73153 matches=8451 decode_errors=0 extract_errors=0 duplicates=0 unique=8451 rows_per_sec=51.18 remaining=11549 complete_pct=42.255
2026-04-02T12:16:06-0600 | INFO | firehose | progress frames=78047 decoded=78047 commit_events=77841 ops=80191 matches=9192 decode_errors=0 extract_errors=0 duplicates=0 unique=9192 rows_per_sec=51.03 remaining=10808 complete_pct=45.960
2026-04-02T12:16:21-0600 | INFO | firehose | progress frames=84616 decoded=84616 commit_events=84399 ops=87226 matches=9960 decode_errors=0 extract_errors=0 duplicates=0 unique=9960 rows_per_sec=51.04 remaining=10040 complete_pct=49.800
2026-04-02T12:16:36-0600 | INFO | firehose | progress frames=93342 decoded=93342 commit_events=93094 ops=96944 matches=11069 decode_errors=0 extract_errors=0 duplicates=0 unique=11069 rows_per_sec=52.68 remaining=8931 complete_pct=55.345
2026-04-02T12:16:51-0600 | INFO | firehose | progress frames=100541 decoded=100541 commit_events=100285 ops=104837 matches=11929 decode_errors=0 extract_errors=0 duplicates=0 unique=11929 rows_per_sec=52.99 remaining=8071 complete_pct=59.645
2026-04-02T12:17:06-0600 | INFO | firehose | progress frames=107311 decoded=107311 commit_events=107046 ops=112072 matches=12714 decode_errors=0 extract_errors=0 duplicates=0 unique=12714 rows_per_sec=52.93 remaining=7286 complete_pct=63.570
2026-04-02T12:17:21-0600 | INFO | firehose | progress frames=114386 decoded=114386 commit_events=114107 ops=119770 matches=13541 decode_errors=0 extract_errors=0 duplicates=0 unique=13541 rows_per_sec=53.06 remaining=6459 complete_pct=67.705
2026-04-02T12:17:36-0600 | INFO | firehose | progress frames=121356 decoded=121356 commit_events=121058 ops=127352 matches=14334 decode_errors=0 extract_errors=0 duplicates=0 unique=14334 rows_per_sec=53.05 remaining=5666 complete_pct=71.670
2026-04-02T12:17:51-0600 | INFO | firehose | progress frames=128231 decoded=128231 commit_events=127920 ops=134392 matches=15088 decode_errors=0 extract_errors=0 duplicates=0 unique=15088 rows_per_sec=52.90 remaining=4912 complete_pct=75.440
2026-04-02T12:18:06-0600 | INFO | firehose | progress frames=135102 decoded=135102 commit_events=134774 ops=141409 matches=15917 decode_errors=0 extract_errors=0 duplicates=0 unique=15917 rows_per_sec=53.02 remaining=4083 complete_pct=79.585
2026-04-02T12:18:21-0600 | INFO | firehose | progress frames=142103 decoded=142103 commit_events=141765 ops=149085 matches=16765 decode_errors=0 extract_errors=0 duplicates=0 unique=16765 rows_per_sec=53.19 remaining=3235 complete_pct=83.825
2026-04-02T12:18:36-0600 | INFO | firehose | progress frames=148952 decoded=148952 commit_events=148589 ops=156734 matches=17598 decode_errors=0 extract_errors=0 duplicates=0 unique=17598 rows_per_sec=53.29 remaining=2402 complete_pct=87.990
2026-04-02T12:18:51-0600 | INFO | firehose | progress frames=155863 decoded=155863 commit_events=155478 ops=164268 matches=18458 decode_errors=0 extract_errors=0 duplicates=0 unique=18458 rows_per_sec=53.47 remaining=1542 complete_pct=92.290
2026-04-02T12:19:06-0600 | INFO | firehose | progress frames=162566 decoded=162566 commit_events=162163 ops=171465 matches=19236 decode_errors=0 extract_errors=0 duplicates=0 unique=19236 rows_per_sec=53.40 remaining=764 complete_pct=96.180
2026-04-02T12:19:20-0600 | INFO | firehose | Target reached: 20000 unique posts
2026-04-02T12:19:20-0600 | INFO | firehose | progress frames=169186 decoded=169186 commit_events=168762 ops=178691 matches=20000 decode_errors=0 extract_errors=0 duplicates=0 unique=20000 rows_per_sec=53.38 remaining=0 complete_pct=100.000
