num_hours,date,name,counts,trend_name_raw,trend_name_clean,trend_name_clean_no_hash,trend_name_clean_no_dollar,trend_name_alnum,trend_name_token_count,trend_name_char_count,is_blank_raw,is_hashtag,has_special_chars,has_non_ascii,has_url_like,normalized_key_with_hash,normalized_key_no_hash,normalized_key_no_dollar,normalized_date
11,2024-03-30,Easter,1262842.0,Easter,easter,easter,easter,easter,1,6,False,False,False,False,False,easter,easter,easter,2024-03-30
2,2024-03-30,Good Friday,488413.0,Good Friday,good friday,good friday,good friday,good friday,2,11,False,False,False,False,False,good friday,good friday,good friday,2024-03-30
4,2024-03-30,#FreenBecky1stFMVN,476851.0,#FreenBecky1stFMVN,#freenbecky1stfmvn,freenbecky1stfmvn,freenbecky1stfmvn,freenbecky1stfmvn,1,17,False,True,True,False,False,#freenbecky1stfmvn,freenbecky1stfmvn,freenbecky1stfmvn,2024-03-30
5,2024-03-30,SAROCHA REBECCA IN VIETNAM,458880.0,SAROCHA REBECCA IN VIETNAM,sarocha rebecca in vietnam,sarocha rebecca in vietnam,sarocha rebecca in vietnam,sarocha rebecca in vietnam,4,26,False,False,False,False,False,sarocha rebecca in vietnam,sarocha rebecca in vietnam,sarocha rebecca in vietnam,2024-03-30
2,2024-03-30,#FHPopFestivalxNuNew,299195.0,#FHPopFestivalxNuNew,#fhpopfestivalxnunew,fhpopfestivalxnunew,fhpopfestivalxnunew,fhpopfestivalxnunew,1,19,False,True,True,False,False,#fhpopfestivalxnunew,fhpopfestivalxnunew,fhpopfestivalxnunew,2024-03-30
1,2024-03-30,Christian,242972.0,Christian,christian,christian,christian,christian,1,9,False,False,False,False,False,christian,christian,christian,2024-03-30
10,2024-03-30,Transgender Day of Visibility,241327.0,Transgender Day of Visibility,transgender day of visibility,transgender day of visibility,transgender day of visibility,transgender day of visibility,4,29,False,False,False,False,False,transgender day of visibility,transgender day of visibility,transgender day of visibility,2024-03-30
3,2024-03-30,wonwoo,218367.0,wonwoo,wonwoo,wonwoo,wonwoo,wonwoo,1,6,False,False,False,False,False,wonwoo,wonwoo,wonwoo,2024-03-30
6,2024-03-30,Christians,211825.0,Christians,christians,christians,christians,christians,1,10,False,False,False,False,False,christians,christians,christians,2024-03-30
3,2024-03-30,Chelsea,185466.0,Chelsea,chelsea,chelsea,chelsea,chelsea,1,7,False,False,False,False,False,chelsea,chelsea,chelsea,2024-03-30
3,2024-03-30,WONWOO,149325.0,WONWOO,wonwoo,wonwoo,wonwoo,wonwoo,1,6,False,False,False,False,False,wonwoo,wonwoo,wonwoo,2024-03-30
2,2024-03-30,SCOUPS,143656.0,SCOUPS,scoups,scoups,scoups,scoups,1,6,False,False,False,False,False,scoups,scoups,scoups,2024-03-30
3,2024-03-30,Happy Easter,142929.0,Happy Easter,happy easter,happy easter,happy easter,happy easter,2,12,False,False,False,False,False,happy easter,happy easter,happy easter,2024-03-30
1,2024-03-30,HOSHI,125890.0,HOSHI,hoshi,hoshi,hoshi,hoshi,1,5,False,False,False,False,False,hoshi,hoshi,hoshi,2024-03-30
3,2024-03-30,Bayern,97623.0,Bayern,bayern,bayern,bayern,bayern,1,6,False,False,False,False,False,bayern,bayern,bayern,2024-03-30
10,2024-03-30,#SmackDown,87362.0,#SmackDown,#smackdown,smackdown,smackdown,smackdown,1,9,False,True,True,False,False,#smackdown,smackdown,smackdown,2024-03-30
2,2024-03-30,woozi,84678.0,woozi,woozi,woozi,woozi,woozi,1,5,False,False,False,False,False,woozi,woozi,woozi,2024-03-30
10,2024-03-30,Houston,82649.0,Houston,houston,houston,houston,houston,1,7,False,False,False,False,False,houston,houston,houston,2024-03-30
11,2024-03-30,Duke,82174.0,Duke,duke,duke,duke,duke,1,4,False,False,False,False,False,duke,duke,duke,2024-03-30
4,2024-03-30,Catholic,77823.0,Catholic,catholic,catholic,catholic,catholic,1,8,False,False,False,False,False,catholic,catholic,catholic,2024-03-30
4,2024-03-30,Secret Service,77379.0,Secret Service,secret service,secret service,secret service,secret service,2,14,False,False,False,False,False,secret service,secret service,secret service,2024-03-30
3,2024-03-30,Brentford,76505.0,Brentford,brentford,brentford,brentford,brentford,1,9,False,False,False,False,False,brentford,brentford,brentford,2024-03-30
3,2024-03-30,cheol,74622.0,cheol,cheol,cheol,cheol,cheol,1,5,False,False,False,False,False,cheol,cheol,cheol,2024-03-30
5,2024-03-30,Newcastle,74559.0,Newcastle,newcastle,newcastle,newcastle,newcastle,1,9,False,False,False,False,False,newcastle,newcastle,newcastle,2024-03-30
3,2024-03-30,Leverkusen,73603.0,Leverkusen,leverkusen,leverkusen,leverkusen,leverkusen,1,10,False,False,False,False,False,leverkusen,leverkusen,leverkusen,2024-03-30
2,2024-03-30,Christianity,72431.0,Christianity,christianity,christianity,christianity,christianity,1,12,False,False,False,False,False,christianity,christianity,christianity,2024-03-30
4,2024-03-30,Burnley,66384.0,Burnley,burnley,burnley,burnley,burnley,1,7,False,False,False,False,False,burnley,burnley,burnley,2024-03-30
3,2024-03-30,CHEOL,66044.0,CHEOL,cheol,cheol,cheol,cheol,1,5,False,False,False,False,False,cheol,cheol,cheol,2024-03-30
1,2024-03-30,Diaz,65874.0,Diaz,diaz,diaz,diaz,diaz,1,4,False,False,False,False,False,diaz,diaz,diaz,2024-03-30
3,2024-03-30,WOOZI,64818.0,WOOZI,woozi,woozi,woozi,woozi,1,5,False,False,False,False,False,woozi,woozi,woozi,2024-03-30
1,2024-03-30,Lizzo,64193.0,Lizzo,lizzo,lizzo,lizzo,lizzo,1,5,False,False,False,False,False,lizzo,lizzo,lizzo,2024-03-30
3,2024-03-30,$MEW,58141.0,$MEW,$mew,$mew,mew,mew,1,4,False,False,True,False,False,$mew,$mew,mew,2024-03-30
5,2024-03-30,Mets,54923.0,Mets,mets,mets,mets,mets,1,4,False,False,False,False,False,mets,mets,mets,2024-03-30
1,2024-03-30,Jets,52736.0,Jets,jets,jets,jets,jets,1,4,False,False,False,False,False,jets,jets,jets,2024-03-30
7,2024-03-30,Tennessee,48296.0,Tennessee,tennessee,tennessee,tennessee,tennessee,1,9,False,False,False,False,False,tennessee,tennessee,tennessee,2024-03-30
1,2024-03-30,#MUFC,45677.0,#MUFC,#mufc,mufc,mufc,mufc,1,4,False,True,True,False,False,#mufc,mufc,mufc,2024-03-30
11,2024-03-30,NC State,44405.0,NC State,nc state,nc state,nc state,nc state,2,8,False,False,False,False,False,nc state,nc state,nc state,2024-03-30
2,2024-03-30,Sabrina,44247.0,Sabrina,sabrina,sabrina,sabrina,sabrina,1,7,False,False,False,False,False,sabrina,sabrina,sabrina,2024-03-30
5,2024-03-30,West Ham,43956.0,West Ham,west ham,west ham,west ham,west ham,2,8,False,False,False,False,False,west ham,west ham,west ham,2024-03-30
2,2024-03-30,Chance Perdomo,43657.0,Chance Perdomo,chance perdomo,chance perdomo,chance perdomo,chance perdomo,2,14,False,False,False,False,False,chance perdomo,chance perdomo,chance perdomo,2024-03-30
